data;empresa;servico;cmv;valor
2030-02-10;MH Refeições;Vantage;1;130
2030-02-10;MH Refeições;Rondon R/R;1;26
2030-02-10;MH Refeições;Elisa Agro;1;260
2030-02-11;MH Refeições;Grupo Tamburi;1;600
2030-02-11;MH Refeições;Vantage;1;162
2030-02-11;MH Refeições;Rondon R/R;1;0
2030-02-11;MH Refeições;Elisa Agro;1;390
2030-02-12;MH Refeições;Grupo Tamburi;1;715
2030-02-12;MH Refeições;Vantage;1;162
2030-02-12;MH Refeições;Rondon R/R;1;26
2030-02-12;MH Refeições;Elisa Agro;1;416
2030-02-13;MH Refeições;Grupo Tamburi;1;829
2030-02-13;MH Refeições;Vantage;1;130
2030-02-13;MH Refeições;Rondon R/R;1;0
2030-02-13;MH Refeições;Elisa Agro;1;416
2030-02-14;MH Refeições;Grupo Tamburi;1;715
2030-02-14;MH Refeições;Vantage;1;162
2030-02-14;MH Refeições;Rondon R/R;1;26
2030-02-14;MH Refeições;Elisa Agro;1;494
2030-02-15;MH Refeições;Grupo Tamburi;1;600
2030-02-15;MH Refeições;Vantage;1;162
2030-02-15;MH Refeições;Rondon R/R;1;26
2030-02-15;MH Refeições;Elisa Agro;1;442
2030-02-16;MH Refeições;Grupo Tamburi;1;600
2030-02-16;MH Refeições;Vantage;1;162
2030-02-16;MH Refeições;Rondon R/R;1;26
2030-02-16;MH Refeições;Elisa Agro;1;312
2030-02-17;MH Refeições;Grupo Tamburi;1;572
2030-02-17;MH Refeições;Vantage;1;130
2030-02-17;MH Refeições;Rondon R/R;1;26
2030-02-17;MH Refeições;Elisa Agro;1;364
2030-02-18;MH Refeições;Grupo Tamburi;1;715
2030-02-18;MH Refeições;Vantage;1;162
2030-02-18;MH Refeições;Rondon R/R;1;0
2030-02-18;MH Refeições;Elisa Agro;1;286
2030-02-19;MH Refeições;Grupo Tamburi;1;829
2030-02-19;MH Refeições;Vantage;1;130
2030-02-19;MH Refeições;Rondon R/R;1;26
2030-02-19;MH Refeições;Elisa Agro;1;390
2030-02-20;MH Refeições;Grupo Tamburi;1;743
2030-02-20;MH Refeições;Vantage;1;162
2030-02-20;MH Refeições;Rondon R/R;1;0
2030-02-20;MH Refeições;Elisa Agro;1;286
2030-02-21;MH Refeições;Grupo Tamburi;1;600
2030-02-21;MH Refeições;Vantage;1;130
2030-02-21;MH Refeições;Rondon R/R;1;26
2030-02-21;MH Refeições;Elisa Agro;1;338
2030-02-22;MH Refeições;Grupo Tamburi;1;772
2030-02-22;MH Refeições;Vantage;1;130
2030-02-22;MH Refeições;Rondon R/R;1;26
2030-02-22;MH Refeições;Elisa Agro;1;364
2030-02-23;MH Refeições;Grupo Tamburi;1;772
2030-02-23;MH Refeições;Vantage;1;130
2030-02-23;MH Refeições;Rondon R/R;1;0
2030-02-23;MH Refeições;Elisa Agro;1;442
2030-02-24;MH Refeições;Grupo Tamburi;1;657
2030-02-24;MH Refeições;Vantage;1;162
2030-02-24;MH Refeições;Rondon R/R;1;0
2030-02-24;MH Refeições;Elisa Agro;1;442
2030-02-25;MH Refeições;Grupo Tamburi;1;800
2030-02-25;MH Refeições;Vantage;1;130
2030-02-25;MH Refeições;Rondon R/R;1;0
2030-02-25;MH Refeições;Elisa Agro;1;338
2030-02-26;MH Refeições;Grupo Tamburi;1;629
2030-02-26;MH Refeições;Vantage;1;162
2030-02-26;MH Refeições;Rondon R/R;1;0
2030-02-26;MH Refeições;Elisa Agro;1;338
2030-02-27;MH Refeições;Grupo Tamburi;1;715
2030-02-27;MH Refeições;Vantage;1;162
2030-02-27;MH Refeições;Rondon R/R;1;0
2030-02-27;MH Refeições;Elisa Agro;1;260
2030-02-28;MH Refeições;Grupo Tamburi;1;657
2030-02-28;MH Refeições;Vantage;1;162
2030-02-28;MH Refeições;Rondon R/R;1;26
2030-02-28;MH Refeições;Elisa Agro;1;338
2030-03-01;MH Refeições;Grupo Tamburi;1;572
2030-03-01;MH Refeições;Vantage;1;125
2030-03-01;MH Refeições;Rondon R/R;1;20
2030-03-01;MH Refeições;Elisa Agro;1;320
2030-03-02;MH Refeições;Grupo Tamburi;1;550
2030-03-02;MH Refeições;Vantage;1;100
2030-03-02;MH Refeições;Rondon R/R;1;0
2030-03-02;MH Refeições;Elisa Agro;1;220
2030-03-03;MH Refeições;Grupo Tamburi;1;462
2030-03-03;MH Refeições;Vantage;1;100
2030-03-03;MH Refeições;Rondon R/R;1;0
2030-03-03;MH Refeições;Elisa Agro;1;200
2030-03-04;MH Refeições;Grupo Tamburi;1;484
2030-03-04;MH Refeições;Vantage;1;125
2030-03-04;MH Refeições;Rondon R/R;1;20
2030-03-04;MH Refeições;Elisa Agro;1;380
2030-03-05;MH Refeições;Grupo Tamburi;1;440
2030-03-05;MH Refeições;Vantage;1;125
2030-03-05;MH Refeições;Rondon R/R;1;20
2030-03-05;MH Refeições;Elisa Agro;1;220
2030-03-06;MH Refeições;Grupo Tamburi;1;594
2030-03-06;MH Refeições;Vantage;1;125
2030-03-06;MH Refeições;Rondon R/R;1;20
2030-03-06;MH Refeições;Elisa Agro;1;380
2030-03-07;MH Refeições;Grupo Tamburi;1;550
2030-03-07;MH Refeições;Vantage;1;100
2030-03-07;MH Refeições;Rondon R/R;1;20
2030-03-07;MH Refeições;Elisa Agro;1;240
2030-03-08;MH Refeições;Grupo Tamburi;1;484
2030-03-08;MH Refeições;Vantage;1;100
2030-03-08;MH Refeições;Rondon R/R;1;20
2030-03-08;MH Refeições;Elisa Agro;1;260
2030-03-09;MH Refeições;Grupo Tamburi;1;462
2030-03-09;MH Refeições;Vantage;1;100
2030-03-09;MH Refeições;Rondon R/R;1;0
2030-03-09;MH Refeições;Elisa Agro;1;260
2030-03-10;MH Refeições;Grupo Tamburi;1;638
2030-03-10;MH Refeições;Vantage;1;100
2030-03-10;MH Refeições;Rondon R/R;1;0
2030-03-10;MH Refeições;Elisa Agro;1;280
2030-03-11;MH Refeições;Grupo Tamburi;1;440
2030-03-11;MH Refeições;Vantage;1;125
2030-03-11;MH Refeições;Rondon R/R;1;20
2030-03-11;MH Refeições;Elisa Agro;1;340
2030-03-12;MH Refeições;Grupo Tamburi;1;572
2030-03-12;MH Refeições;Vantage;1;125
2030-03-12;MH Refeições;Rondon R/R;1;20
2030-03-12;MH Refeições;Elisa Agro;1;380
2030-03-13;MH Refeições;Grupo Tamburi;1;616
2030-03-13;MH Refeições;Vantage;1;125
2030-03-13;MH Refeições;Rondon R/R;1;0
2030-03-13;MH Refeições;Elisa Agro;1;380
2030-03-14;MH Refeições;Grupo Tamburi;1;484
2030-03-14;MH Refeições;Vantage;1;100
2030-03-14;MH Refeições;Rondon R/R;1;0
2030-03-14;MH Refeições;Elisa Agro;1;360
2030-03-15;MH Refeições;Grupo Tamburi;1;484
2030-03-15;MH Refeições;Vantage;1;125
2030-03-15;MH Refeições;Rondon R/R;1;0
2030-03-15;MH Refeições;Elisa Agro;1;380
2030-03-16;MH Refeições;Grupo Tamburi;1;462
2030-03-16;MH Refeições;Vantage;1;100
2030-03-16;MH Refeições;Rondon R/R;1;0
2030-03-16;MH Refeições;Elisa Agro;1;220
2030-03-17;MH Refeições;Grupo Tamburi;1;550
2030-03-17;MH Refeições;Vantage;1;100
2030-03-17;MH Refeições;Rondon R/R;1;20
2030-03-17;MH Refeições;Elisa Agro;1;340
2030-03-18;MH Refeições;Grupo Tamburi;1;550
2030-03-18;MH Refeições;Vantage;1;100
2030-03-18;MH Refeições;Rondon R/R;1;20
2030-03-18;MH Refeições;Elisa Agro;1;300
2030-03-19;MH Refeições;Grupo Tamburi;1;616
2030-03-19;MH Refeições;Vantage;1;100
2030-03-19;MH Refeições;Rondon R/R;1;0
2030-03-19;MH Refeições;Elisa Agro;1;220
2030-03-20;MH Refeições;Grupo Tamburi;1;594
2030-03-20;MH Refeições;Vantage;1;100
2030-03-20;MH Refeições;Rondon R/R;1;20
2030-03-20;MH Refeições;Elisa Agro;1;300
2030-03-21;MH Refeições;Grupo Tamburi;1;550
2030-03-21;MH Refeições;Vantage;1;125
2030-03-21;MH Refeições;Rondon R/R;1;0
2030-03-21;MH Refeições;Elisa Agro;1;260
2030-03-22;MH Refeições;Grupo Tamburi;1;638
2030-03-22;MH Refeições;Vantage;1;100
2030-03-22;MH Refeições;Rondon R/R;1;0
2030-03-22;MH Refeições;Elisa Agro;1;340
2030-03-23;MH Refeições;Grupo Tamburi;1;594
2030-03-23;MH Refeições;Vantage;1;125
2030-03-23;MH Refeições;Rondon R/R;1;0
2030-03-23;MH Refeições;Elisa Agro;1;240
2030-03-24;MH Refeições;Grupo Tamburi;1;616
2030-03-24;MH Refeições;Vantage;1;100
2030-03-24;MH Refeições;Rondon R/R;1;0
2030-03-24;MH Refeições;Elisa Agro;1;380
2030-03-25;MH Refeições;Grupo Tamburi;1;638
2030-03-25;MH Refeições;Vantage;1;100
2030-03-25;MH Refeições;Rondon R/R;1;20
2030-03-25;MH Refeições;Elisa Agro;1;240
2030-03-26;MH Refeições;Grupo Tamburi;1;462
2030-03-26;MH Refeições;Vantage;1;125
2030-03-26;MH Refeições;Rondon R/R;1;20
2030-03-26;MH Refeições;Elisa Agro;1;380
2030-03-27;MH Refeições;Grupo Tamburi;1;550
2030-03-27;MH Refeições;Vantage;1;125
2030-03-27;MH Refeições;Rondon R/R;1;20
2030-03-27;MH Refeições;Elisa Agro;1;380
2030-03-28;MH Refeições;Grupo Tamburi;1;594
2030-03-28;MH Refeições;Vantage;1;100
2030-03-28;MH Refeições;Rondon R/R;1;20
2030-03-28;MH Refeições;Elisa Agro;1;200
2030-03-29;MH Refeições;Grupo Tamburi;1;594
2030-03-29;MH Refeições;Vantage;1;125
2030-03-29;MH Refeições;Rondon R/R;1;20
2030-03-29;MH Refeições;Elisa Agro;1;280
2030-03-30;MH Refeições;Grupo Tamburi;1;572
2030-03-30;MH Refeições;Vantage;1;125
2030-03-30;MH Refeições;Rondon R/R;1;0
2030-03-30;MH Refeições;Elisa Agro;1;220
2030-03-31;MH Refeições;Grupo Tamburi;1;528
2030-03-31;MH Refeições;Vantage;1;100
2030-03-31;MH Refeições;Rondon R/R;1;0
2030-03-31;MH Refeições;Elisa Agro;1;200
2030-04-01;MH Refeições;Grupo Tamburi;1;629
2030-04-01;MH Refeições;Vantage;1;137
2030-04-01;MH Refeições;Rondon R/R;1;0
2030-04-01;MH Refeições;Elisa Agro;1;286
2030-04-02;MH Refeições;Grupo Tamburi;1;629
2030-04-02;MH Refeições;Vantage;1;137
2030-04-02;MH Refeições;Rondon R/R;1;22
2030-04-02;MH Refeições;Elisa Agro;1;286
2030-04-03;MH Refeições;Grupo Tamburi;1;701
2030-04-03;MH Refeições;Vantage;1;110
2030-04-03;MH Refeições;Rondon R/R;1;0
2030-04-03;MH Refeições;Elisa Agro;1;396
2030-04-04;MH Refeições;Grupo Tamburi;1;605
2030-04-04;MH Refeições;Vantage;1;137
2030-04-04;MH Refeições;Rondon R/R;1;0
2030-04-04;MH Refeições;Elisa Agro;1;264
2030-04-05;MH Refeições;Grupo Tamburi;1;677
2030-04-05;MH Refeições;Vantage;1;110
2030-04-05;MH Refeições;Rondon R/R;1;0
2030-04-05;MH Refeições;Elisa Agro;1;418
2030-04-06;MH Refeições;Grupo Tamburi;1;556
2030-04-06;MH Refeições;Vantage;1;137
2030-04-06;MH Refeições;Rondon R/R;1;0
2030-04-06;MH Refeições;Elisa Agro;1;242
2030-04-07;MH Refeições;Grupo Tamburi;1;532
2030-04-07;MH Refeições;Vantage;1;137
2030-04-07;MH Refeições;Rondon R/R;1;0
2030-04-07;MH Refeições;Elisa Agro;1;396
2030-04-08;MH Refeições;Grupo Tamburi;1;532
2030-04-08;MH Refeições;Vantage;1;110
2030-04-08;MH Refeições;Rondon R/R;1;0
2030-04-08;MH Refeições;Elisa Agro;1;352
2030-04-09;MH Refeições;Grupo Tamburi;1;556
2030-04-09;MH Refeições;Vantage;1;110
2030-04-09;MH Refeições;Rondon R/R;1;22
2030-04-09;MH Refeições;Elisa Agro;1;396
2030-04-10;MH Refeições;Grupo Tamburi;1;653
2030-04-10;MH Refeições;Vantage;1;110
2030-04-10;MH Refeições;Rondon R/R;1;22
2030-04-10;MH Refeições;Elisa Agro;1;308
2030-04-11;MH Refeições;Grupo Tamburi;1;677
2030-04-11;MH Refeições;Vantage;1;110
2030-04-11;MH Refeições;Rondon R/R;1;0
2030-04-11;MH Refeições;Elisa Agro;1;308
2030-04-12;MH Refeições;Grupo Tamburi;1;556
2030-04-12;MH Refeições;Vantage;1;110
2030-04-12;MH Refeições;Rondon R/R;1;22
2030-04-12;MH Refeições;Elisa Agro;1;308
2030-04-13;MH Refeições;Grupo Tamburi;1;629
2030-04-13;MH Refeições;Vantage;1;110
2030-04-13;MH Refeições;Rondon R/R;1;0
2030-04-13;MH Refeições;Elisa Agro;1;374
2030-04-14;MH Refeições;Grupo Tamburi;1;556
2030-04-14;MH Refeições;Vantage;1;137
2030-04-14;MH Refeições;Rondon R/R;1;22
2030-04-14;MH Refeições;Elisa Agro;1;308
2030-04-15;MH Refeições;Grupo Tamburi;1;701
2030-04-15;MH Refeições;Vantage;1;137
2030-04-15;MH Refeições;Rondon R/R;1;22
2030-04-15;MH Refeições;Elisa Agro;1;308
2030-04-16;MH Refeições;Grupo Tamburi;1;677
2030-04-16;MH Refeições;Vantage;1;110
2030-04-16;MH Refeições;Rondon R/R;1;22
2030-04-16;MH Refeições;Elisa Agro;1;242
2030-04-17;MH Refeições;Grupo Tamburi;1;701
2030-04-17;MH Refeições;Vantage;1;137
2030-04-17;MH Refeições;Rondon R/R;1;0
2030-04-17;MH Refeições;Elisa Agro;1;374
2030-04-18;MH Refeições;Grupo Tamburi;1;701
2030-04-18;MH Refeições;Vantage;1;110
2030-04-18;MH Refeições;Rondon R/R;1;22
2030-04-18;MH Refeições;Elisa Agro;1;396
2030-04-19;MH Refeições;Grupo Tamburi;1;508
2030-04-19;MH Refeições;Vantage;1;110
2030-04-19;MH Refeições;Rondon R/R;1;22
2030-04-19;MH Refeições;Elisa Agro;1;396
2030-04-20;MH Refeições;Grupo Tamburi;1;653
2030-04-20;MH Refeições;Vantage;1;137
2030-04-20;MH Refeições;Rondon R/R;1;0
2030-04-20;MH Refeições;Elisa Agro;1;352
2030-04-21;MH Refeições;Grupo Tamburi;1;556
2030-04-21;MH Refeições;Vantage;1;110
2030-04-21;MH Refeições;Rondon R/R;1;0
2030-04-21;MH Refeições;Elisa Agro;1;264
2030-04-22;MH Refeições;Grupo Tamburi;1;629
2030-04-22;MH Refeições;Vantage;1;137
2030-04-22;MH Refeições;Rondon R/R;1;0
2030-04-22;MH Refeições;Elisa Agro;1;264
2030-04-23;MH Refeições;Grupo Tamburi;1;508
2030-04-23;MH Refeições;Vantage;1;137
2030-04-23;MH Refeições;Rondon R/R;1;22
2030-04-23;MH Refeições;Elisa Agro;1;242
2030-04-24;MH Refeições;Grupo Tamburi;1;508
2030-04-24;MH Refeições;Vantage;1;110
2030-04-24;MH Refeições;Rondon R/R;1;0
2030-04-24;MH Refeições;Elisa Agro;1;396
2030-04-25;MH Refeições;Grupo Tamburi;1;629
2030-04-25;MH Refeições;Vantage;1;137
2030-04-25;MH Refeições;Rondon R/R;1;22
2030-04-25;MH Refeições;Elisa Agro;1;242
2030-04-26;MH Refeições;Grupo Tamburi;1;532
2030-04-26;MH Refeições;Vantage;1;110
2030-04-26;MH Refeições;Rondon R/R;1;22
2030-04-26;MH Refeições;Elisa Agro;1;242
2030-04-27;MH Refeições;Grupo Tamburi;1;701
2030-04-27;MH Refeições;Vantage;1;137
2030-04-27;MH Refeições;Rondon R/R;1;0
2030-04-27;MH Refeições;Elisa Agro;1;352
2030-04-28;MH Refeições;Grupo Tamburi;1;605
2030-04-28;MH Refeições;Vantage;1;137
2030-04-28;MH Refeições;Rondon R/R;1;22
2030-04-28;MH Refeições;Elisa Agro;1;330
2030-04-29;MH Refeições;Grupo Tamburi;1;653
2030-04-29;MH Refeições;Vantage;1;137
2030-04-29;MH Refeições;Rondon R/R;1;0
2030-04-29;MH Refeições;Elisa Agro;1;264
2030-04-30;MH Refeições;Grupo Tamburi;1;556
2030-04-30;MH Refeições;Vantage;1;137
2030-04-30;MH Refeições;Rondon R/R;1;22
2030-04-30;MH Refeições;Elisa Agro;1;396
2030-05-01;MH Refeições;Grupo Tamburi;1;508
2030-05-01;MH Refeições;Vantage;1;137
2030-05-01;MH Refeições;Rondon R/R;1;22
2030-05-01;MH Refeições;Elisa Agro;1;264
2030-05-02;MH Refeições;Grupo Tamburi;1;629
2030-05-02;MH Refeições;Vantage;1;110
2030-05-02;MH Refeições;Rondon R/R;1;0
2030-05-02;MH Refeições;Elisa Agro;1;264
2030-05-03;MH Refeições;Grupo Tamburi;1;701
2030-05-03;MH Refeições;Vantage;1;110
2030-05-03;MH Refeições;Rondon R/R;1;22
2030-05-03;MH Refeições;Elisa Agro;1;286
2030-05-04;MH Refeições;Grupo Tamburi;1;701
2030-05-04;MH Refeições;Vantage;1;137
2030-05-04;MH Refeições;Rondon R/R;1;22
2030-05-04;MH Refeições;Elisa Agro;1;286
2030-05-05;MH Refeições;Grupo Tamburi;1;484
2030-05-05;MH Refeições;Vantage;1;137
2030-05-05;MH Refeições;Rondon R/R;1;0
2030-05-05;MH Refeições;Elisa Agro;1;396
2030-05-06;MH Refeições;Grupo Tamburi;1;605
2030-05-06;MH Refeições;Vantage;1;137
2030-05-06;MH Refeições;Rondon R/R;1;0
2030-05-06;MH Refeições;Elisa Agro;1;352
2030-05-07;MH Refeições;Grupo Tamburi;1;677
2030-05-07;MH Refeições;Vantage;1;110
2030-05-07;MH Refeições;Rondon R/R;1;0
2030-05-07;MH Refeições;Elisa Agro;1;220
2030-05-08;MH Refeições;Grupo Tamburi;1;653
2030-05-08;MH Refeições;Vantage;1;110
2030-05-08;MH Refeições;Rondon R/R;1;22
2030-05-08;MH Refeições;Elisa Agro;1;352
2030-05-09;MH Refeições;Grupo Tamburi;1;484
2030-05-09;MH Refeições;Vantage;1;137
2030-05-09;MH Refeições;Rondon R/R;1;0
2030-05-09;MH Refeições;Elisa Agro;1;374
2030-05-10;MH Refeições;Grupo Tamburi;1;532
2030-05-10;MH Refeições;Vantage;1;137
2030-05-10;MH Refeições;Rondon R/R;1;0
2030-05-10;MH Refeições;Elisa Agro;1;330
2030-05-11;MH Refeições;Grupo Tamburi;1;653
2030-05-11;MH Refeições;Vantage;1;137
2030-05-11;MH Refeições;Rondon R/R;1;22
2030-05-11;MH Refeições;Elisa Agro;1;220
2030-05-12;MH Refeições;Grupo Tamburi;1;701
2030-05-12;MH Refeições;Vantage;1;110
2030-05-12;MH Refeições;Rondon R/R;1;0
2030-05-12;MH Refeições;Elisa Agro;1;352
2030-05-13;MH Refeições;Grupo Tamburi;1;629
2030-05-13;MH Refeições;Vantage;1;110
2030-05-13;MH Refeições;Rondon R/R;1;22
2030-05-13;MH Refeições;Elisa Agro;1;220
2030-05-14;MH Refeições;Grupo Tamburi;1;508
2030-05-14;MH Refeições;Vantage;1;110
2030-05-14;MH Refeições;Rondon R/R;1;0
2030-05-14;MH Refeições;Elisa Agro;1;330
2030-05-15;MH Refeições;Grupo Tamburi;1;605
2030-05-15;MH Refeições;Vantage;1;137
2030-05-15;MH Refeições;Rondon R/R;1;0
2030-05-15;MH Refeições;Elisa Agro;1;264
2030-05-16;MH Refeições;Grupo Tamburi;1;677
2030-05-16;MH Refeições;Vantage;1;110
